"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-12-05,427699,154,5409,7491,2,21
"2",2020-12-04,427545,1494,6201,7489,10,25
"3",2020-12-03,426051,5529,6532,7479,30,26
"4",2020-12-02,420522,8964,5924,7449,25,25
"5",2020-12-01,411558,9727,5490,7424,35,25
"6",2020-11-30,401831,9443,4887,7389,25,24
"7",2020-11-29,392388,2550,4261,7364,23,26
"8",2020-11-28,389838,5699,4210,7341,26,27
"9",2020-11-27,384139,3815,3868,7315,20,27
"10",2020-11-26,380324,1273,4019,7295,22,27
"11",2020-11-25,379051,5920,4472,7273,24,29
"12",2020-11-24,373131,5507,4345,7249,29,28
"13",2020-11-23,367624,5063,4283,7220,39,29
"14",2020-11-22,362561,2193,4238,7181,31,27
"15",2020-11-21,360368,3305,4187,7150,25,25
"16",2020-11-20,357063,4874,4091,7125,20,24
"17",2020-11-19,352189,4444,3877,7105,35,24
"18",2020-11-18,347745,5032,3704,7070,20,22
"19",2020-11-17,342713,5070,3451,7050,33,21
"20",2020-11-16,337643,4749,3176,7017,23,19
"21",2020-11-15,332894,1833,2956,6994,20,18
"22",2020-11-14,331061,2634,2854,6974,17,17
"23",2020-11-13,328427,3376,2754,6957,22,16
"24",2020-11-12,325051,3237,2614,6935,18,15
"25",2020-11-11,321814,3258,2513,6917,16,14
"26",2020-11-10,318556,3143,2401,6901,15,13
"27",2020-11-09,315413,3213,2233,6886,15,13
"28",2020-11-08,312200,1119,2047,6871,13,12
"29",2020-11-07,311081,1934,2000,6858,11,13
"30",2020-11-06,309147,2396,1886,6847,18,13
"31",2020-11-05,306751,2530,1736,6829,8,12
"32",2020-11-04,304221,2475,1560,6821,10,13
"33",2020-11-03,301746,1961,1379,6811,13,14
"34",2020-11-02,299785,1912,1286,6798,12,14
"35",2020-11-01,297873,793,1224,6786,18,14
"36",2020-10-31,297080,1135,1218,6768,13,14
"37",2020-10-30,295945,1343,1210,6755,9,14
"38",2020-10-29,294602,1299,1242,6746,17,16
"39",2020-10-28,293303,1212,1296,6729,13,15
"40",2020-10-27,292091,1309,1365,6716,17,15
"41",2020-10-26,290782,1477,1413,6699,13,15
"42",2020-10-25,289305,752,1464,6686,16,15
"43",2020-10-24,288553,1078,1448,6670,14,14
"44",2020-10-23,287475,1569,1441,6656,19,14
"45",2020-10-22,285906,1673,1409,6637,14,14
"46",2020-10-21,284233,1695,1367,6623,15,14
"47",2020-10-20,282538,1649,1316,6608,14,14
"48",2020-10-19,280889,1829,1256,6594,16,15
"49",2020-10-18,279060,642,1213,6578,9,15
"50",2020-10-17,278418,1033,1192,6569,11,16
"51",2020-10-16,277385,1342,1194,6558,19,16
"52",2020-10-15,276043,1380,1180,6539,14,14
"53",2020-10-14,274663,1339,1156,6525,17,15
"54",2020-10-13,273324,1227,1154,6508,19,16
"55",2020-10-12,272097,1527,1107,6489,15,15
"56",2020-10-11,270570,499,1047,6474,16,15
"57",2020-10-10,270071,1043,1048,6458,9,16
"58",2020-10-09,269028,1247,1024,6449,10,16
"59",2020-10-08,267781,1213,1003,6439,22,16
"60",2020-10-07,266568,1321,997,6417,19,15
"61",2020-10-06,265247,902,985,6398,17,14
"62",2020-10-05,264345,1106,1023,6381,14,13
"63",2020-10-04,263239,505,1025,6367,18,14
"64",2020-10-03,262734,873,1023,6349,12,14
"65",2020-10-02,261861,1098,1003,6337,11,15
"66",2020-10-01,260763,1173,999,6326,13,16
"67",2020-09-30,259590,1239,1001,6313,14,17
"68",2020-09-29,258351,1169,985,6299,9,19
"69",2020-09-28,257182,1116,975,6290,20,20
"70",2020-09-27,256066,496,992,6270,18,19
"71",2020-09-26,255570,727,985,6252,20,19
"72",2020-09-25,254843,1073,981,6232,17,18
"73",2020-09-24,253770,1189,964,6215,19,18
"74",2020-09-23,252581,1124,945,6196,27,18
"75",2020-09-22,251457,1097,950,6169,18,17
"76",2020-09-21,250360,1235,930,6151,15,17
"77",2020-09-20,249125,449,918,6136,15,17
"78",2020-09-19,248676,703,898,6121,16,18
"79",2020-09-18,247973,950,887,6105,15,18
"80",2020-09-17,247023,1058,891,6090,18,20
"81",2020-09-16,245965,1157,872,6072,20,21
"82",2020-09-15,244808,961,854,6052,20,22
