dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/02/28 08:00:00+00,1,1,0,0,1,2,0,0,2,3,0,0,124b9667-855e-4811-a600-075ed504d8ca,1
2020/02/29 08:00:00+00,,,,,,,,,,,,,f1084fd3-f9e8-44b6-ab17-254e082eac87,2
2020/03/01 08:00:00+00,,,,,,,,,,,,,c74dee4b-835e-4a4a-81ab-5688febe36f0,3
2020/03/02 08:00:00+00,,,,,,,,,,,,,67a7c965-4e6d-4449-9068-04b433e7b50e,4
2020/03/03 08:00:00+00,,,,,,,,,,,,,d879b171-07e2-4d66-b2b7-97a4e24df536,5
2020/03/04 08:00:00+00,,,,,,,,,,,,,9a1993a5-ecd9-4c2b-ab3e-577e4e6a54cb,6
2020/03/05 08:00:00+00,,,,,,,,,,,,,3c04fb8e-e152-47f8-a820-77b1c4e947dd,7
2020/03/06 08:00:00+00,0,1,0,0,1,3,0,0,1,4,0,0,c54caa9c-7d04-40eb-ab0a-823e96cf0a5d,8
2020/03/07 08:00:00+00,,,,,,,,,,,,,0c8925dc-45ad-4137-8a8e-fd76d33f6eae,9
2020/03/08 08:00:00+00,0,1,0,0,1,4,0,0,1,5,0,0,6c2edbb6-cf7e-4b49-9d34-46b0648b2ad5,10
2020/03/09 08:00:00+00,,,,,,,,,,,,,495f368d-242a-41f8-88e8-a1b5de7b294a,11
2020/03/10 08:00:00+00,0,1,0,0,7,11,0,0,7,12,0,0,93c53683-1cf0-4862-9117-fe36775fd3ba,12
2020/03/11 08:00:00+00,0,1,0,0,1,12,0,0,1,13,0,0,b911230a-ce46-4750-bb05-e1583cd8ee09,13
2020/03/12 08:00:00+00,0,1,0,0,1,13,0,0,1,14,0,0,fd40d474-d834-4818-9c6c-c203ce3baaf2,14
2020/03/13 08:00:00+00,0,1,0,0,1,14,0,0,1,15,0,0,aae2d906-086c-4b60-996d-ec3b8ec583cf,15
2020/03/14 08:00:00+00,0,1,0,0,8,22,0,0,8,23,0,0,b55b526f-8fc8-4a48-9734-2f490f5cfa1e,16
2020/03/15 08:00:00+00,,,,,,,,,,,,,0654f598-d4f2-4685-9b24-2d19363520aa,17
2020/03/16 08:00:00+00,0,1,0,0,11,33,0,0,11,34,0,0,469c4f11-68c9-42ad-b733-0cf99f7c75ab,18
2020/03/17 08:00:00+00,0,1,0,0,2,35,0,0,2,36,0,0,1df517cc-6b06-4477-a7be-728983438748,19
2020/03/18 08:00:00+00,1,2,0,0,8,43,0,0,9,45,0,0,42f1bbff-3889-4684-93ba-225028a1b2ab,20
2020/03/19 08:00:00+00,1,3,0,0,7,50,3,3,8,53,3,3,9383ca75-6b0b-467f-96cb-111af4013543,21
2020/03/20 08:00:00+00,1,4,0,0,20,70,1,4,21,74,1,4,64e0b8f1-9698-44b2-8a55-23aa0da2decc,22
2020/03/21 08:00:00+00,0,4,0,0,16,86,2,6,16,90,2,6,525453a4-f438-4b8f-9c59-6f725c4dbad0,23
2020/03/22 08:00:00+00,1,5,0,0,26,112,1,7,27,117,1,7,2d9bac7d-1ac4-4a72-87fc-2d9eb8060de5,24
2020/03/23 08:00:00+00,5,10,0,0,18,130,1,8,23,140,1,8,57b23cbe-b840-4512-8fa0-9c9c5ba734a6,25
2020/03/24 08:00:00+00,0,10,0,0,20,150,3,11,20,160,3,11,d41c857e-40a3-41bc-9a5b-2c7ca528c606,26
2020/03/25 08:00:00+00,3,13,0,0,35,185,5,16,38,198,5,16,10367980-1852-4d6e-86d9-7ffa4a0861fe,27
2020/03/26 08:00:00+00,2,15,0,0,36,221,1,17,38,236,1,17,65142df4-bb85-43be-8f06-884e7e762c9c,28
2020/03/27 08:00:00+00,3,18,0,0,33,254,2,19,36,272,2,19,83d576af-23cb-4a58-abf5-ba20e1e7bba0,29
2020/03/28 08:00:00+00,0,18,0,0,17,271,0,19,17,289,0,19,394f3199-ed5d-4ee2-80e8-0175e3836292,30
2020/03/29 08:00:00+00,0,18,0,0,9,280,3,22,9,298,3,22,4f490ea9-9e12-4cb9-82ff-a81be3a2f0ce,31
2020/03/30 08:00:00+00,0,18,0,0,49,329,4,26,49,347,4,26,246666cf-754c-4e9d-914f-bfa6e6fa518d,32
2020/03/31 08:00:00+00,1,19,0,0,41,370,3,29,42,389,3,29,984a8313-8a9d-48ab-8134-b83bc4d1fa07,33
2020/04/01 08:00:00+00,4,23,1,1,39,409,2,31,43,432,3,32,aaac900b-fd82-45d6-86c4-964b2599a981,34
2020/04/02 08:00:00+00,1,24,0,1,51,460,8,39,52,484,8,40,dfdfea75-fcdc-432e-b37a-6b76d11eeeb6,35
2020/04/03 08:00:00+00,4,28,0,1,70,530,9,48,74,558,9,49,bfcf3e21-3a12-4078-a298-432b5ccfdc65,36
2020/04/04 08:00:00+00,1,29,0,1,29,559,1,49,30,588,1,50,fa3b820f-485b-4525-a11e-678ae3f93149,37
2020/04/05 08:00:00+00,0,29,0,1,29,588,2,51,29,617,2,52,77c2cbe6-fdf9-4742-bee9-64ed71927fe3,38
