"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-12-12,500060,160,6995,7864,0,29
"2",2020-12-11,499900,2067,8090,7864,7,36
"3",2020-12-10,497833,6715,9131,7857,32,40
"4",2020-12-09,491118,10887,9513,7825,27,43
"5",2020-12-08,480231,12675,9264,7798,41,44
"6",2020-12-07,467556,12404,8874,7757,61,44
"7",2020-12-06,455152,4057,8556,7696,38,41
"8",2020-12-05,451095,7826,8432,7658,43,39
"9",2020-12-04,443269,9352,8128,7615,38,38
"10",2020-12-03,433917,9393,7406,7577,52,36
"11",2020-12-02,424524,9144,6299,7525,36,32
"12",2020-12-01,415380,9944,5882,7489,40,32
"13",2020-11-30,405436,10177,5275,7449,37,30
"14",2020-11-29,395259,3185,4572,7412,27,31
"15",2020-11-28,392074,5701,4454,7385,36,31
"16",2020-11-27,386373,4300,4126,7349,26,30
"17",2020-11-26,382073,1640,4221,7323,23,30
"18",2020-11-25,380433,6226,4631,7300,32,31
"19",2020-11-24,374207,5694,4473,7268,32,30
"20",2020-11-23,368513,5257,4392,7236,39,30
"21",2020-11-22,363256,2360,4326,7197,31,28
"22",2020-11-21,360896,3402,4254,7166,29,27
"23",2020-11-20,357494,4967,4146,7137,21,25
"24",2020-11-19,352527,4513,3922,7116,36,25
"25",2020-11-18,348014,5120,3741,7080,21,23
"26",2020-11-17,342894,5123,3477,7059,36,22
"27",2020-11-16,337771,4794,3195,7023,23,19
"28",2020-11-15,332977,1859,2971,7000,22,18
"29",2020-11-14,331118,2649,2866,6978,18,17
"30",2020-11-13,328469,3397,2765,6960,22,16
"31",2020-11-12,325072,3243,2623,6938,19,15
"32",2020-11-11,321829,3273,2521,6919,16,14
"33",2020-11-10,318556,3153,2408,6903,15,13
"34",2020-11-09,315403,3225,2238,6888,15,13
"35",2020-11-08,312178,1122,2051,6873,13,12
"36",2020-11-07,311056,1939,2005,6860,11,13
"37",2020-11-06,309117,2406,1890,6849,18,13
"38",2020-11-05,306711,2532,1738,6831,9,12
"39",2020-11-04,304179,2480,1562,6822,10,13
"40",2020-11-03,301699,1965,1381,6812,13,14
"41",2020-11-02,299734,1914,1287,6799,12,14
"42",2020-11-01,297820,796,1225,6787,18,14
"43",2020-10-31,297024,1136,1219,6769,13,14
"44",2020-10-30,295888,1345,1211,6756,9,14
"45",2020-10-29,294543,1299,1242,6747,17,16
"46",2020-10-28,293244,1212,1296,6730,13,15
"47",2020-10-27,292032,1309,1365,6717,17,15
"48",2020-10-26,290723,1475,1413,6700,13,15
"49",2020-10-25,289248,754,1464,6687,16,15
"50",2020-10-24,288494,1080,1448,6671,14,14
"51",2020-10-23,287414,1568,1441,6657,19,14
"52",2020-10-22,285846,1671,1409,6638,15,14
"53",2020-10-21,284175,1696,1368,6623,14,14
"54",2020-10-20,282479,1650,1317,6609,14,14
"55",2020-10-19,280829,1829,1256,6595,16,15
"56",2020-10-18,279000,643,1213,6579,9,15
"57",2020-10-17,278357,1033,1193,6570,12,16
"58",2020-10-16,277324,1343,1194,6558,19,16
"59",2020-10-15,275981,1380,1180,6539,14,14
"60",2020-10-14,274601,1338,1156,6525,17,15
"61",2020-10-13,273263,1227,1154,6508,19,16
"62",2020-10-12,272036,1528,1108,6489,15,15
"63",2020-10-11,270508,499,1048,6474,16,15
"64",2020-10-10,270009,1042,1048,6458,9,16
"65",2020-10-09,268967,1247,1024,6449,10,16
"66",2020-10-08,267720,1214,1003,6439,22,16
"67",2020-10-07,266506,1320,997,6417,19,15
"68",2020-10-06,265186,904,986,6398,17,14
"69",2020-10-05,264282,1108,1023,6381,14,13
"70",2020-10-04,263174,504,1024,6367,18,14
"71",2020-10-03,262670,872,1023,6349,12,14
"72",2020-10-02,261798,1096,1002,6337,11,15
"73",2020-10-01,260702,1175,998,6326,13,16
"74",2020-09-30,259527,1240,1000,6313,14,17
"75",2020-09-29,258287,1167,989,6299,9,19
"76",2020-09-28,257120,1114,979,6290,20,20
"77",2020-09-27,256006,495,996,6270,18,19
"78",2020-09-26,255511,727,990,6252,20,19
"79",2020-09-25,254784,1071,986,6232,17,18
"80",2020-09-24,253713,1188,969,6215,19,18
"81",2020-09-23,252525,1159,951,6196,27,18
"82",2020-09-22,251366,1097,950,6169,18,17
"83",2020-09-21,250269,1238,931,6151,15,17
"84",2020-09-20,249031,449,918,6136,15,17
"85",2020-09-19,248582,703,898,6121,16,18
"86",2020-09-18,247879,949,887,6105,15,18
"87",2020-09-17,246930,1060,891,6090,18,20
"88",2020-09-16,245870,1157,872,6072,20,21
"89",2020-09-15,244713,959,854,6052,20,22
"90",2020-09-14,243754,1149,881,6032,18,23
"91",2020-09-13,242605,307,771,6014,19,24
"92",2020-09-12,242298,629,780,5995,19,25
"93",2020-09-11,241669,977,755,5976,25,25
"94",2020-09-10,240692,926,753,5951,25,26
"95",2020-09-09,239766,1030,766,5926,28,26
"96",2020-09-08,238736,1149,792,5898,28,25
"97",2020-09-07,237587,377,783,5870,26,25
"98",2020-09-06,237210,373,904,5844,22,25
"99",2020-09-05,236837,451,910,5822,22,27
"100",2020-09-04,236386,965,965,5800,30,29
"101",2020-09-03,235421,1018,977,5770,24,28
"102",2020-09-02,234403,1213,1001,5746,23,29
"103",2020-09-01,233190,1082,1027,5723,28,29
"104",2020-08-31,232108,1229,1051,5695,29,30
"105",2020-08-30,230879,412,1094,5666,33,29
"106",2020-08-29,230467,833,1106,5633,34,28
"107",2020-08-28,229634,1054,1114,5599,22,29
"108",2020-08-27,228580,1182,1151,5577,31,30
"109",2020-08-26,227398,1395,1172,5546,28,31
"110",2020-08-25,226003,1250,1174,5518,30,33
"111",2020-08-24,224753,1532,1205,5488,25,33
"112",2020-08-23,223221,498,1203,5463,29,35
"113",2020-08-22,222723,889,1209,5434,37,36
"114",2020-08-21,221834,1309,1238,5397,32,35
"115",2020-08-20,220525,1328,1254,5365,37,35
"116",2020-08-19,219197,1414,1280,5328,41,35
"117",2020-08-18,217783,1467,1311,5287,29,33
"118",2020-08-17,216316,1519,1339,5258,39,35
"119",2020-08-16,214797,540,1414,5219,36,36
"120",2020-08-15,214257,1086,1429,5183,32,36
"121",2020-08-14,213171,1424,1457,5151,34,37
"122",2020-08-13,211747,1508,1522,5117,31,37
"123",2020-08-12,210239,1630,1571,5086,32,37
"124",2020-08-11,208609,1665,1626,5054,43,38
"125",2020-08-10,206944,2044,1701,5011,43,38
"126",2020-08-09,204900,645,1719,4968,40,38
"127",2020-08-08,204255,1286,1731,4928,35,38
"128",2020-08-07,202969,1877,1780,4893,33,40
"129",2020-08-06,201092,1853,1816,4860,36,40
"130",2020-08-05,199239,2012,1874,4824,34,41
"131",2020-08-04,197227,2188,1920,4790,47,42
"132",2020-08-03,195039,2172,1974,4743,41,40
"133",2020-08-02,192867,732,2035,4702,40,40
